SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,3668 Torrance Blvd,Frisco,TX,75034,1900000,5,6.5,Edgestone At Legacy,5492,15202,2017,6,346,250,Active,,,https://www.redfin.com/TX/Frisco/3668-Torrance-Blvd-75034/home/143671172,NTREIS,21165060,N,Y,33.1251284,-96.8571397
MLS Listing,,Single Family Residential,7800 Brookview Dr,Frisco,TX,75034,559900,5,2.5,Oakbrook Park Estates Ph III,2613,6970,1998,13,214,29,Active,,,https://www.redfin.com/TX/Frisco/7800-Brookview-Dr-75034/home/32105189,NTREIS,21184076,N,Y,33.1434276,-96.8166381
MLS Listing,,Single Family Residential,15090 Snowshill Dr,Frisco,TX,75035,600000,4,2.5,Turnbridge Manor Ph Two,3074,7841,2003,27,195,58,Active,,,https://www.redfin.com/TX/Frisco/15090-Snowshill-Dr-75035/home/32325662,NTREIS,21173227,N,Y,33.1248164,-96.7439164
MLS Listing,,Single Family Residential,7163 Kentwood Dr,Frisco,TX,75034,1449000,5,5.5,Park Place Estates Ph1,5001,11195,2012,53,290,73,Active,,,https://www.redfin.com/TX/Frisco/7163-Kentwood-Dr-75034/home/40318188,NTREIS,21134241,N,Y,33.140141277,-96.85243328
MLS Listing,,Single Family Residential,10234 Cava Rd,Frisco,TX,75035,750000,5,4.0,Miramonte Ph 1a,4031,10585,2013,65,186,72,Active,,,https://www.redfin.com/TX/Frisco/10234-Cava-Rd-75035/home/44489123,NTREIS,21141670,N,Y,33.1927646,-96.7919385
MLS Listing,,Single Family Residential,9857 Avalon Dr,Frisco,TX,75035,719900,5,3.5,Crown Ridge Ph 1,4009,6970,2006,104,180,75,Active,,,https://www.redfin.com/TX/Frisco/9857-Avalon-Dr-75035/home/31695144,NTREIS,21114477,N,Y,33.1907613,-96.7958046
MLS Listing,,Single Family Residential,4670 Refugio Rd,Frisco,TX,75034,650000,4,3.5,Stewart Creek Estates Ph 1,3234,5489,2001,122,201,30,Active,,,https://www.redfin.com/TX/Frisco/4670-Refugio-Rd-75034/home/33129509,NTREIS,21063783,N,Y,33.118104,-96.8535744
MLS Listing,,Single Family Residential,3399 Columbus Dr,Frisco,TX,75034,625000,4,2.5,Heritage Lakes Ph 4 & 5,3357,7667,2005,143,186,197,Active,,,https://www.redfin.com/TX/Frisco/3399-Columbus-Dr-75034/home/32548171,NTREIS,21081832,N,Y,33.1074478,-96.8599236
MLS Listing,,Single Family Residential,12000 Port Rd,Frisco,TX,75035,445000,3,2.0,Preston Lakes Add Ph V,1636,7405,1996,170,272,19,Active,,,https://www.redfin.com/TX/Frisco/12000-Port-Rd-75035/home/32235938,NTREIS,21057381,N,Y,33.1473398,-96.7740911
MLS Listing,,Single Family Residential,1071 Jennala Dr,Frisco,TX,75036,1374900,5,5.0,Phillips Creek Ranch Ph 4b,4838,9235,2016,184,284,220,Active,,,https://www.redfin.com/TX/Frisco/1071-Jennala-Dr-75036/home/109678837,NTREIS,21044082,N,Y,33.1286667,-96.8831152
MLS Listing,,Single Family Residential,6842 Gavin Dr,Frisco,TX,75034,799000,4,3.5,Edgestone At Legacy Ph 2,3012,6621,2019,261,265,125,Active,,,https://www.redfin.com/TX/Frisco/6842-Gavin-Dr-75034/home/168888917,NTREIS,20973652,N,Y,33.1351785,-96.8526022
Redfin Data,,Single Family Residential,863 Gladewater Dr,Frisco,TX,75033,650000,4,3.0,Frisco,3167,7405,2010,2,205,58,Pre On-Market,,,https://www.redfin.com/TX/Frisco/863-Gladewater-Dr-75033/home/32643034,Coming Soon,112690,N,Y,33.158408,-96.884626
MLS Listing,,Vacant Land,9804 Wyndbrook Dr,Frisco,TX,75035,399000,,,Meadows of Preston Phase II,,9108,,1,,25,Active,,,https://www.redfin.com/TX/Frisco/9804-Wyndbrook-Dr-75035/home/187696203,NTREIS,21202163,N,Y,33.1494196,-96.7964048
MLS Listing,,Single Family Residential,1016 Porter Dr,Frisco,TX,75036,724835,5,4.5,Villages of Creekwood,3633,8625,2026,1,200,124,Active,,,https://www.redfin.com/TX/Frisco/1016-Porter-Dr-75036/home/200795737,NTREIS,21202118,N,Y,33.1542283,-96.9002068
MLS Listing,,Single Family Residential,1094 Porter Dr,Frisco,TX,75036,688232,4,3.5,Villages of Creekwood,2937,8538,2026,1,234,124,Active,,,https://www.redfin.com/TX/Frisco/1094-Porter-Dr-75036/home/200795604,NTREIS,21202089,N,Y,33.1542135,-96.9008451
MLS Listing,,Single Family Residential,1042 Porter Dr,Frisco,TX,75036,667407,4,3.5,Villages of Creekwood,2787,8843,2026,1,239,124,Active,,,https://www.redfin.com/TX/Frisco/1042-Porter-Dr-75036/home/200795482,NTREIS,21202072,N,Y,33.1542244,-96.9004219
MLS Listing,,Single Family Residential,1344 Overton St,Frisco,TX,75036,488954,3,2.5,Villages of Creekwood,2061,6316,2026,1,237,124,Active,,,https://www.redfin.com/TX/Frisco/1344-Overton-St-75036/home/200794875,NTREIS,21201919,N,Y,33.151004,-96.9032453
MLS Listing,,Single Family Residential,2655 Sleepy Hollow Trl,Frisco,TX,75033,799900,5,4.0,The Fairways Ph 2,3715,8407,2001,1,215,53,Active,,,https://www.redfin.com/TX/Frisco/2655-Sleepy-Hollow-Trl-75033/home/33136810,NTREIS,21201468,N,Y,33.1671641,-96.8683182
MLS Listing,,Single Family Residential,1454 Melcer St,Frisco,TX,75036,592617,4,3.5,Villages of Creekwood,3141,6098,2026,1,189,124,Active,,,https://www.redfin.com/TX/Frisco/1454-Melcer-St-75036/home/200794857,NTREIS,21201898,N,Y,33.1517972,-96.9038599
MLS Listing,,Single Family Residential,1378 Overton St,Frisco,TX,75036,568410,4,3.5,Villages of Creekwood,3137,6316,2026,1,181,124,Active,,,https://www.redfin.com/TX/Frisco/1378-Overton-St-75036/home/200792891,NTREIS,21201897,N,Y,33.1510045,-96.9034413
MLS Listing,,Single Family Residential,1454 Marburg Ln,Frisco,TX,75036,550663,4,3.0,Villages of Creekwood,2871,6316,2026,1,192,124,Active,,,https://www.redfin.com/TX/Frisco/1454-Marburg-Ln-75036/home/200792875,NTREIS,21201895,N,Y,33.1502139,-96.9038364
MLS Listing,,Single Family Residential,12350 Honeyflower Dr,Frisco,TX,75035,769999,5,4.0,Independence Estates,3754,7841,2014,1,205,42,Active,,,https://www.redfin.com/TX/Frisco/12350-Honeyflower-Dr-75035/home/67125576,NTREIS,21201397,N,Y,33.1794721,-96.7460869
MLS Listing,,Single Family Residential,1865 Bareback Ranch Rd,Frisco,TX,75036,1500000,5,5.5,Phillips Creek Ranch Ph 1,4538,12240,2018,1,331,202,Active,,,https://www.redfin.com/TX/Frisco/1865-Bareback-Ranch-Rd-75036/home/109672880,NTREIS,21201817,N,Y,33.1379615,-96.8757646
MLS Listing,,Single Family Residential,4272 Sechrist Dr,Frisco,TX,75034,650000,3,2.5,Park West,2387,3136,2019,1,272,92,Active,,,https://www.redfin.com/TX/Frisco/4272-Sechrist-Dr-75034/home/167527148,NTREIS,21168646,N,Y,33.1517922,-96.8514743
MLS Listing,,Single Family Residential,1093 Modesto Dr,Frisco,TX,75036,880000,4,3.5,Villages of Creekwood Phase 2,3770,9017,2024,1,233,124,Active,,,https://www.redfin.com/TX/Frisco/1093-Modesto-Dr-75036/home/198677987,NTREIS,21201412,N,Y,33.1521563,-96.9006615
MLS Listing,,Single Family Residential,7008 Chardonnay Dr,Frisco,TX,75035,449000,3,2.0,Preston Vineyards Sec Two,1786,7405,1994,1,251,,Active,,,https://www.redfin.com/TX/Frisco/7008-Chardonnay-Dr-75035/home/32089263,NTREIS,21199848,N,Y,33.1368635,-96.7895947
MLS Listing,,Townhouse,9476 Espalier St,Frisco,TX,75035,547410,3,2.5,Village On Main Street Townhomes,2343,3049,2025,1,234,351,Active,,,https://www.redfin.com/TX/Frisco/9476-Espalier-St-75035/home/194860409,NTREIS,21197974,N,Y,33.151725,-96.799911
MLS Listing,,Single Family Residential,3944 Grayson Ln,Frisco,TX,75033,659900,3,2.0,Brookside Ph 1a,1719,4617,2023,1,384,225,Active,,,https://www.redfin.com/TX/Frisco/3944-Grayson-Ln-75033/home/187411718,NTREIS,21201419,N,Y,33.1921457,-96.8535399
MLS Listing,,Single Family Residential,8809 Oakwood Ln,Frisco,TX,75035,439800,3,2.0,Hillcrest Highlands Ph II,1746,6970,1998,2,252,,Active,,,https://www.redfin.com/TX/Frisco/8809-Oakwood-Ln-75035/home/32100372,NTREIS,21195164,N,Y,33.151516,-96.7881724
MLS Listing,,Single Family Residential,11663 Frontier Dr,Frisco,TX,75033,874900,4,3.5,Eldorado Fairways At The Trail,4010,8668,2004,2,218,63,Active,,,https://www.redfin.com/TX/Frisco/11663-Frontier-Dr-75033/home/32568052,NTREIS,21193766,N,Y,33.1750357,-96.8756948
MLS Listing,,Single Family Residential,15193 Basket Oak Rd,Frisco,TX,75035,1136000,6,5.0,Garilen Ph 1b,3419,8451,2018,2,332,212,Active,,,https://www.redfin.com/TX/Frisco/15193-Basket-Oak-Rd-75035/home/167682557,NTREIS,21200063,N,Y,33.1484567,-96.7440604
MLS Listing,,Single Family Residential,3443 Hickory Grove Ln,Frisco,TX,75033,1550000,5,4.5,Newman Village Ph One,3894,10759,2013,2,398,314,Active,,,https://www.redfin.com/TX/Frisco/3443-Hickory-Grove-Ln-75033/home/44650161,NTREIS,21200342,N,Y,33.1844046,-96.8582812
MLS Listing,,Single Family Residential,1913 Elite Rd,Mckinney,TX,75071,519900,4,2.5,Parcel 1708,2147,13852,2016,2,242,56,Active,,,https://www.redfin.com/TX/McKinney/1913-Elite-Rd-75071/home/51675831,NTREIS,21188299,N,Y,33.2178918,-96.7602402
MLS Listing,,Single Family Residential,8633 Ludlow Dr,Frisco,TX,75036,450000,3,2.0,Oakmont At Frisco,1637,4008,2015,2,275,58,Active,,,https://www.redfin.com/TX/Frisco/8633-Ludlow-Dr-75036/home/59377542,NTREIS,21201158,N,Y,33.1503307,-96.8883534
MLS Listing,,Single Family Residential,3515 Timberland Pl,Frisco,TX,75033,1490000,5,5.5,Northwood Manor,4482,9694,2022,2,332,94,Active,,,https://www.redfin.com/TX/Frisco/3515-Timberland-Pl-75033/home/176691488,NTREIS,21201142,N,Y,33.1852854,-96.8575234
MLS Listing,,Single Family Residential,12576 Diamond Creek Dr,Frisco,TX,75035,1149900,5,4.5,Lexington,4121,7500,2023,2,279,125,Active,,,https://www.redfin.com/TX/Frisco/12576-Diamond-Creek-Dr-75035/home/182851128,NTREIS,21201037,N,Y,33.1634078,-96.7694937
MLS Listing,,Single Family Residential,3539 Crosshaven Ln,Frisco,TX,75033,725000,4,4.0,Heather Ridge Estates Ph V,3988,9365,2005,2,182,44,Active,,,https://www.redfin.com/TX/Frisco/3539-Crosshaven-Ln-75033/home/32592339,NTREIS,21199679,N,Y,33.1563711,-96.8588397
MLS Listing,,Single Family Residential,4101 San Gabriel Ave,Frisco,TX,75033,1175000,4,4.0,Newman Village,3316,8364,2016,2,354,308,Active,,,https://www.redfin.com/TX/Frisco/4101-San-Gabriel-Ave-75033/home/109672084,NTREIS,21178882,N,Y,33.1785127,-96.8522367
MLS Listing,,Single Family Residential,5242 Buena Vista Dr,Frisco,TX,75034,3650000,5,6.5,Starwood Ph Four Village 16,8134,23000,2004,2,449,220,Active,,,https://www.redfin.com/TX/Frisco/5242-Buena-Vista-Dr-75034/home/32324871,NTREIS,21200088,N,Y,33.1219328,-96.8364066
MLS Listing,,Single Family Residential,2263 Fawn Mist,Frisco,TX,75034,679000,3,2.5,Saddlebrook Village,2809,6011,2008,2,242,108,Active,,,https://www.redfin.com/TX/Frisco/2263-Fawn-Mist-Dr-75036/home/32532501,NTREIS,21197715,N,Y,33.1257775,-96.8714884
MLS Listing,,Single Family Residential,6616 Mountain Sky Rd,Frisco,TX,75036,1495000,5,5.5,Sheridan,4829,10019,2013,2,310,220,Active,,,https://www.redfin.com/TX/Frisco/6616-Mountain-Sky-Rd-75036/home/59371105,NTREIS,21197477,N,Y,33.1341294,-96.8799539
MLS Listing,,Single Family Residential,2551 Windgate Ln,Frisco,TX,75033,405000,3,2.0,The Trails Ph 1 Sec C,1646,5489,2000,2,246,120,Active,,,https://www.redfin.com/TX/Frisco/2551-Windgate-Ln-75033/home/33113813,NTREIS,21176233,N,Y,33.1544948,-96.8684941
MLS Listing,,Single Family Residential,10004 Bell Rock Rd,Frisco,TX,75035,425000,3,2.0,Sedona Ph Two,1785,4356,2009,2,238,75,Active,,,https://www.redfin.com/TX/Frisco/10004-Bell-Rock-Rd-75035/home/31743322,NTREIS,21199100,N,Y,33.1384812,-96.7951664
MLS Listing,,Single Family Residential,11016 Latimer Dr,Frisco,TX,75033,565000,4,2.5,Preston Highlands North Ph 4,3044,10019,1999,2,186,43,Active,,,https://www.redfin.com/TX/Frisco/11016-Latimer-Dr-75033/home/32115982,NTREIS,21200037,N,Y,33.1698095,-96.809385
MLS Listing,,Single Family Residential,13452 Spokane Way,Frisco,TX,75035,1870000,5,5.5,Lexington Ph Seven,5471,11674,2019,2,342,100,Active,,,https://www.redfin.com/TX/Frisco/13452-Spokane-Way-75035/home/161387154,NTREIS,21187616,N,Y,33.1691735,-96.7604264
MLS Listing,,Single Family Residential,8162 Robertson Dr,Frisco,TX,75036,467000,3,2.0,Heritage Village Ph 1,1819,7971,2001,2,257,50,Active,,,https://www.redfin.com/TX/Frisco/8162-Robertson-Dr-75036/home/33158536,NTREIS,21200281,N,Y,33.1463252,-96.8662758
MLS Listing,,Single Family Residential,11304 Meredith Dr,Frisco,TX,75036,479000,3,2.5,Enclave at Hidden Cove,2110,5445,2015,2,227,105,Active,,,https://www.redfin.com/TX/Frisco/11304-Meredith-Dr-75036/home/98168820,NTREIS,21198512,N,Y,33.1334713,-96.9352764
MLS Listing,,Single Family Residential,13162 Riverhill Rd,Frisco,TX,75033,1650000,5,5.5,Newman Village Ph 4,4657,13852,2017,2,354,300,Active,,,https://www.redfin.com/TX/Frisco/13162-Riverhill-Rd-75033/home/144103369,NTREIS,21158986,N,Y,33.1870283,-96.8502104
MLS Listing,,Single Family Residential,3583 Norwich Ln,Frisco,TX,75033,1275000,5,4.5,Shaddock Creek Estates Ph 2,4570,11718,2006,2,279,67,Active,March-14-2026 12:00 PM,March-14-2026 02:00 PM,https://www.redfin.com/TX/Frisco/3583-Norwich-Ln-75033/home/32628830,NTREIS,21170206,N,Y,33.1677947,-96.8579054
MLS Listing,,Single Family Residential,12736 Possum Kingdom Dr,Frisco,TX,75033,1286000,5,5.5,Emerson Estates Ph 2,4373,10934,2017,2,294,86,Active,,,https://www.redfin.com/TX/Frisco/12736-Possum-Kingdom-Dr-75033/home/108685352,NTREIS,21193414,N,Y,33.1837963,-96.8416335
MLS Listing,,Single Family Residential,4114 Peace Dr,Frisco,TX,75034,740000,4,2.5,Heritage Lakes Ph 1 & 3,3356,8668,2003,2,221,234,Active,,,https://www.redfin.com/TX/Frisco/4114-Peace-Dr-75034/home/33167887,NTREIS,21191321,N,Y,33.1107087,-96.8532255
MLS Listing,,Single Family Residential,5480 Braemar Dr,Frisco,TX,75034,1050000,3,2.5,Chase At Stonebriar The,3348,6098,2005,3,314,197,Active,,,https://www.redfin.com/TX/Frisco/5480-Braemar-Dr-75034/home/32323861,NTREIS,21198489,N,Y,33.0977656,-96.8401919
MLS Listing,,Single Family Residential,6481 Paragon Dr,Frisco,TX,75036,550000,2,2.0,Frisco Lakes By Del Webb Villa,2076,6316,2015,3,265,200,Active,,,https://www.redfin.com/TX/Frisco/6481-Paragon-Dr-75036/home/66897781,NTREIS,21198694,N,Y,33.1331761,-96.920504
MLS Listing,,Single Family Residential,16548 Indiangrass Rd,Frisco,TX,75033,824999,4,3.5,Hollyhock Ph 1b & 1c,2988,6665,2018,3,276,203,Active,,,https://www.redfin.com/TX/Frisco/16548-Indiangrass-Rd-75033/home/144102433,NTREIS,21197182,N,Y,33.215623,-96.8699929
MLS Listing,,Single Family Residential,12079 Kingsville Dr,Frisco,TX,75035,399900,3,2.0,Panther Creek Estates Ph IV,1846,6970,2006,3,217,44,Active,,,https://www.redfin.com/TX/Frisco/12079-Kingsville-Dr-75035/home/31639866,NTREIS,21199879,N,Y,33.1795591,-96.7729081
MLS Listing,,Single Family Residential,3942 Palace Pl,Frisco,TX,75033,459900,3,2.0,Kings Garden Ph 1,1919,7449,2002,3,240,50,Active,,,https://www.redfin.com/TX/Frisco/3942-Palace-Pl-75033/home/32515528,NTREIS,21198446,N,Y,33.1547477,-96.8544552
MLS Listing,,Single Family Residential,3709 Winding Way,Frisco,TX,75035,605225,6,3.0,Hillcrest Estates Sec II Ph Vii,2711,11326,1999,3,223,45,Active,,,https://www.redfin.com/TX/Frisco/3709-Winding-Way-75035/home/32119177,NTREIS,21199178,N,Y,33.1101207,-96.7828661
MLS Listing,,Single Family Residential,15174 Chipping Trl,Frisco,TX,75035,1095950,5,5.0,Collinsbrook Farm,4562,7884,2025,3,240,69,Active,,,https://www.redfin.com/TX/Frisco/15174-Chipping-Trl-75035/home/200700909,NTREIS,21199824,N,Y,33.2023606,-96.7701553
MLS Listing,,Single Family Residential,15025 Heartland Dr,Frisco,TX,75035,1014000,6,4.0,Collinsbrook Farm,4365,7884,2025,3,232,69,Active,,,https://www.redfin.com/TX/Frisco/15025-Heartland-Dr-75035/home/200700897,NTREIS,21199802,N,Y,33.2014266,-96.7697703
MLS Listing,,Single Family Residential,11743 Avondale Dr,Frisco,TX,75033,750000,4,3.5,Eldorado Fairways At The Trail,3415,8102,2003,3,220,70,Active,,,https://www.redfin.com/TX/Frisco/11743-Avondale-Dr-75033/home/32510562,NTREIS,21197184,N,Y,33.1761525,-96.8781719
MLS Listing,,Single Family Residential,5000 Seashore Ln,Frisco,TX,75036,465000,3,2.5,The Shores At Hidden Cove Phas,2546,6970,2013,3,183,93,Active,,,https://www.redfin.com/TX/Frisco/5000-Seashore-Ln-75036/home/51670545,NTREIS,21198030,N,Y,33.1399073,-96.9258891
MLS Listing,,Single Family Residential,14904 Heartland Dr,Frisco,TX,75035,1085950,5,5.0,Collinsbrook Farm,4320,7884,2025,3,251,69,Active,,,https://www.redfin.com/TX/Frisco/14904-Heartland-Dr-75035/home/200700907,NTREIS,21199792,N,Y,33.200684,-96.7691854
MLS Listing,,Single Family Residential,15097 Blakehill Dr,Frisco,TX,75035,694000,4,3.0,Turnbridge Manor Ph Three,3712,7841,2005,3,187,58,Active,,,https://www.redfin.com/TX/Frisco/15097-Blakehill-Dr-75035/home/31587240,NTREIS,21183227,N,Y,33.1260586,-96.7439499
MLS Listing,,Single Family Residential,2190 Alcove Dr,Frisco,TX,75034,889000,4,3.5,The Hills Of Kingswood Ph 2,3394,10454,2017,3,262,211,Active,,,https://www.redfin.com/TX/Frisco/2190-Alcove-Dr-75034/home/109696858,NTREIS,21188331,N,Y,33.1067364,-96.8722368
MLS Listing,,Single Family Residential,12883 Possum Kingdom Dr,Frisco,TX,75033,1030000,4,4.5,Emerson Estates Ph 2,3786,11456,2016,3,272,157,Active,,,https://www.redfin.com/TX/Frisco/12883-Possum-Kingdom-Dr-75033/home/109691299,NTREIS,21199440,N,Y,33.1852852,-96.8421923
MLS Listing,,Single Family Residential,10912 Yorkshire Ln,Frisco,TX,75033,999900,5,4.0,Shaddock Creek Estates Ph 1,4484,9801,2006,3,223,67,Active,,,https://www.redfin.com/TX/Frisco/10912-Yorkshire-Ln-75033/home/32614426,NTREIS,21164732,N,Y,33.1673996,-96.8592357
MLS Listing,,Single Family Residential,6110 Rachel Dr,Frisco,TX,75034,1325000,5,4.5,Starwood Ph 6 Villages 19 & 20,4907,11326,2004,3,270,283,Active,,,https://www.redfin.com/TX/Frisco/6110-Rachel-Dr-75034/home/31609174,NTREIS,21196755,N,Y,33.1311938,-96.8354344
MLS Listing,,Single Family Residential,6976 Valley Brook Dr,Frisco,TX,75035,800000,4,3.5,Hunters Creek Ph 2,3662,7405,2001,3,218,81,Active,,,https://www.redfin.com/TX/Frisco/6976-Valley-Brook-Dr-75035/home/32316073,NTREIS,21198771,N,Y,33.1364768,-96.7395772
MLS Listing,,Single Family Residential,6738 Barnes Dr,Frisco,TX,75034,1195000,4,4.5,Edgestone At Legacy Ph 2,3863,10585,2021,3,309,142,Active,,,https://www.redfin.com/TX/Frisco/6738-Barnes-Dr-75034/home/168888962,NTREIS,21186508,N,Y,33.1345391,-96.8515526
MLS Listing,,Single Family Residential,9671 Maple Hill Ln,Frisco,TX,75035,715000,4,2.5,Bretton Woods,2899,12502,2018,3,247,100,Active,,,https://www.redfin.com/TX/Frisco/9671-Maple-Hill-Ln-75035/home/110183146,NTREIS,21188984,N,Y,33.2134917,-96.797153
MLS Listing,,Single Family Residential,12221 Knots Ln,Frisco,TX,75036,499900,4,3.0,The Shores At Hidden Cove Phas,2750,6882,2012,3,182,105,Active,,,https://www.redfin.com/TX/Frisco/12221-Knots-Ln-75036/home/40363733,NTREIS,21196865,N,Y,33.1368605,-96.9235193
